election,sample_size,institute,date,party,support,election_date,days_to_election
1957,,allensbach,1957-08-15,cdu,46,1957-09-15,31
1957,,allensbach,1957-05-15,oth,11,1957-09-15,123
1957,,allensbach,1956-04-15,fdp,11,1957-09-15,518
1957,,allensbach,1956-12-15,cdu,39,1957-09-15,274
1957,,allensbach,1953-11-15,lin,,1957-09-15,1400
1957,,allensbach,1954-05-15,lin,,1957-09-15,1219
1957,,allensbach,1956-02-15,oth,13,1957-09-15,578
1957,,allensbach,1955-03-15,gru,,1957-09-15,915
1957,,allensbach,1956-03-15,fdp,11,1957-09-15,549
1957,,allensbach,1956-11-15,cdu,38,1957-09-15,304
1957,,allensbach,1953-10-15,lin,,1957-09-15,1431
1957,,allensbach,1953-12-15,lin,,1957-09-15,1370
1957,,allensbach,1955-02-15,cdu,42,1957-09-15,943
